Act,Placement,Agent,Rank,KD,K,D,A,First_Blood_Rate,Pick_Rate,Win_Rate,Avg._Score,Matches
Ep5-Act2,Iron 1,Sage,1,0.73,9.7,13.3,5.0,0.1,0.137,0.52,151,52377
Ep5-Act2,Iron 1,Reyna,2,1.01,13.9,13.8,3.8,0.1,0.108,0.53,212,41514
Ep5-Act2,Iron 1,Raze,3,0.85,11.8,13.9,4.1,0.1,0.081,0.48,187,31161
Ep5-Act2,Iron 1,Jett,4,0.96,12.3,12.8,3.1,0.2,0.072,0.53,200,27438
Ep5-Act2,Iron 1,Yoru,5,0.8,11.1,13.8,3.4,0.1,0.061,0.48,171,23460
Ep5-Act2,Iron 1,Fade,6,0.71,10.0,14.1,5.4,0.1,0.06,0.5,157,23205
Ep5-Act2,Iron 1,Omen,7,0.83,11.4,13.8,3.7,0.1,0.057,0.51,174,21828
Ep5-Act2,Iron 1,Phoenix,8,0.93,12.1,13.1,3.4,0.1,0.053,0.45,195,20196
Ep5-Act2,Iron 1,Viper,9,0.78,10.8,13.8,4.1,0.1,0.049,0.53,165,18666
Ep5-Act2,Iron 1,Chamber,10,0.96,12.3,12.7,3.2,0.1,0.048,0.53,191,18564
Ep5-Act2,Iron 1,Neon,11,0.84,11.5,13.7,3.3,0.2,0.047,0.53,181,18105
Ep5-Act2,Iron 1,Sova,12,0.83,10.8,13.0,4.3,0.1,0.046,0.5,169,17595
Ep5-Act2,Iron 1,Killjoy,13,0.79,9.9,12.6,3.5,0.1,0.04,0.51,162,15402
Ep5-Act2,Iron 1,Brimstone,14,0.79,10.0,12.7,4.1,0.1,0.035,0.49,165,13617
Ep5-Act2,Iron 1,Skye,15,0.74,10.0,13.5,5.4,0.1,0.033,0.51,161,12801
Ep5-Act2,Iron 1,KAY/O,16,0.77,10.8,13.9,5.8,0.1,0.031,0.51,166,11781
Ep5-Act2,Iron 1,Cypher,17,0.79,10.1,12.8,4.2,0.1,0.019,0.6,151,7191
Ep5-Act2,Iron 1,Breach,18,0.79,9.8,12.4,3.8,0.1,0.015,0.42,160,5763
Ep5-Act2,Iron 1,Astra,19,0.96,9.9,10.3,2.7,0.1,0.008,0.51,175,3009
Ep5-Act2,Iron 2,Sage,1,0.75,10.5,14.0,5.6,0.1,0.146,0.51,159,242301
Ep5-Act2,Iron 2,Reyna,2,0.99,14.2,14.3,4.0,0.2,0.111,0.51,212,183906
Ep5-Act2,Iron 2,Raze,3,0.89,12.7,14.4,4.6,0.1,0.075,0.5,199,124389
Ep5-Act2,Iron 2,Fade,4,0.76,10.9,14.4,5.6,0.1,0.061,0.5,165,101388
Ep5-Act2,Iron 2,Jett,5,0.92,13.3,14.5,3.6,0.2,0.061,0.49,201,100776
